country,year,item,r,n,survey,cc_rank
United States,1970,attend6_0_0_3_18_40_52,1,66.96732261403483,anes_combo,634
United States,1970,attend6_0_0_3_18_40_52,2,166.46163049774373,anes_combo,634
United States,1970,attend6_0_0_3_18_40_52,3,417.1107522817027,anes_combo,634
United States,1970,attend6_0_0_3_18_40_52,4,220.99216462631495,anes_combo,634
United States,1970,attend6_0_0_3_18_40_52,6,539.565285061652,anes_combo,634
United States,1972,attend11_0_.5_1_3_12_30_41_52_104_365_730,1,136.99860172449712,usgss,634
United States,1972,attend11_0_.5_1_3_12_30_41_52_104_365_730,2,177.9981832624853,usgss,634
United States,1972,attend11_0_.5_1_3_12_30_41_52_104_365_730,3,225.99769335573978,usgss,634
United States,1972,attend11_0_.5_1_3_12_30_41_52_104_365_730,4,107.99889770982254,usgss,634
United States,1972,attend11_0_.5_1_3_12_30_41_52_104_365_730,5,141.99855069254446,usgss,634
United States,1972,attend11_0_.5_1_3_12_30_41_52_104_365_730,6,97.99899977372787,usgss,634
United States,1972,attend11_0_.5_1_3_12_30_41_52_104_365_730,7,459.9953050603553,usgss,634
United States,1972,attend11_0_.5_1_3_12_30_41_52_104_365_730,8,100.99896915455628,usgss,634
United States,1972,attend6_0_0_3_18_40_52,1,111.93109636917251,anes_combo,634
United States,1972,attend6_0_0_3_18_40_52,2,366.4069223025049,anes_combo,634
United States,1972,attend6_0_0_3_18_40_52,3,823.6980681526284,anes_combo,634
United States,1972,attend6_0_0_3_18_40_52,4,299.43959968847,anes_combo,634
United States,1972,attend6_0_0_3_18_40_52,5,291.78619138972317,anes_combo,634
United States,1972,attend6_0_0_3_18_40_52,6,667.7598740656616,anes_combo,634
United States,1973,attend11_0_.5_1_3_12_30_41_52_104_365_730,1,116.99880585230777,usgss,634
United States,1973,attend11_0_.5_1_3_12_30_41_52_104_365_730,2,193.9980199602368,usgss,634
United States,1973,attend11_0_.5_1_3_12_30_41_52_104_365_730,3,225.99769335573978,usgss,634
United States,1973,attend11_0_.5_1_3_12_30_41_52_104_365_730,4,92.99905080568053,usgss,634
United States,1973,attend11_0_.5_1_3_12_30_41_52_104_365_730,5,124.9987242011835,usgss,634
United States,1973,attend11_0_.5_1_3_12_30_41_52_104_365_730,6,115.9988160586983,usgss,634
